BSR_Group,Target,Feature_Set,Model,CV_ROC_AUC_Mean,CV_ROC_AUC_Std,Train_Accuracy,Test_Accuracy,Train_F1,Test_F1,Train_ROC_AUC,Test_ROC_AUC,Test_Precision,Test_Recall,N_Samples,N_Features,Class_Balance
Sports & Outdoors,has_main_bsr,Top Features,RandomForest,0.9064290215140876,0.02421728266681664,0.9956647398843931,0.867816091954023,0.99568345323741,0.863905325443787,0.999883056567209,0.927335182983221,0.8902439024390244,0.8390804597701149,866,20,0.5
Industrial & Scientific,has_main_bsr,Top Features,LogisticRegression,0.9299107142857143,0.019537984635074404,0.8803149606299212,0.8805031446540881,0.8844984802431611,0.8834355828220859,0.9468186417475151,0.9356012658227848,0.8571428571428571,0.9113924050632911,794,20,0.5
Industrial & Scientific,has_main_bsr,Top Features,XGBoost,0.9376488095238097,0.011550831727319244,1.0,0.8616352201257862,1.0,0.8607594936708861,1.0,0.9408227848101267,0.8607594936708861,0.8607594936708861,794,20,0.5
Industrial & Scientific,has_main_bsr,Top Features,RandomForest,0.9411210317460318,0.012446937956271649,1.0,0.8679245283018868,1.0,0.8695652173913043,1.0,0.9463607594936709,0.8536585365853658,0.8860759493670886,794,20,0.5
Musical Instruments,has_main_bsr,Top Features,LogisticRegression,0.9849842368319877,0.012152803783090653,0.9664694280078896,0.968503937007874,0.9668615984405458,0.9692307692307692,0.9906476611372195,0.9861111111111112,0.9402985074626866,1.0,634,20,0.5
Musical Instruments,has_main_bsr,Top Features,XGBoost,0.9853871587850825,0.008091433666742115,1.0,0.952755905511811,1.0,0.953125,1.0,0.9861111111111112,0.9384615384615385,0.9682539682539683,634,20,0.5
Musical Instruments,has_main_bsr,Top Features,RandomForest,0.9880545943867742,0.005388971832045314,1.0,0.9606299212598425,1.0,0.9606299212598425,1.0,0.9851190476190476,0.953125,0.9682539682539683,634,20,0.5
Home & Kitchen,has_main_bsr,All Features,LogisticRegression,0.9552683896620279,0.00408005561244077,0.9996684899718217,0.9092113982770046,0.9996686547382373,0.9105160026126714,0.9999998351516474,0.9544802993307219,0.8970398970398971,0.9244031830238727,7542,7581,0.5
Home & Kitchen,has_main_bsr,All Features,XGBoost,0.9666960096798974,0.0019512194722721041,0.9782860931543179,0.9257786613651425,0.9786957228817694,0.9281129653401797,0.9977482814009735,0.9625450137895901,0.8992537313432836,0.9588859416445623,7542,7581,0.5
Home & Kitchen,has_main_bsr,All Features,RandomForest,0.967181158488538,0.005419385463505899,0.9835902536051716,0.9211398277004639,0.9838420107719928,0.9232753062540296,0.9986199445406182,0.9617000720220634,0.8983688833124216,0.9496021220159151,7542,7581,0.5
Health & Household,has_main_bsr,All Features,LogisticRegression,0.9671287929304156,0.002283248164681642,0.9993185689948892,0.9080381471389646,0.9993188010899182,0.9093351242444594,0.9999990713035706,0.9582287714661183,0.8966887417218543,0.9223433242506812,7338,7581,0.5
Health & Household,has_main_bsr,All Features,XGBoost,0.9724656613082278,0.0011037033082595487,0.9833049403747871,0.9359673024523161,0.9835404769902586,0.9368279569892473,0.9993126485551516,0.9736114307775691,0.9244031830238727,0.9495912806539509,7338,7581,0.5
Health & Household,has_main_bsr,All Features,RandomForest,0.9665083867551071,0.0008182169383239519,0.979557069846678,0.9243869209809265,0.9798927613941019,0.9262458471760797,0.9985522783535374,0.9666602320902227,0.9040207522697795,0.9495912806539509,7338,7581,0.5
Office Products,has_main_bsr,All Features,LogisticRegression,0.9899424181799529,0.0013310117948507382,1.0,0.9612573099415205,1.0,0.9616775126536515,1.0,0.9914760097123901,0.9513590844062947,0.9722222222222222,6840,7581,0.5
Office Products,has_main_bsr,All Features,XGBoost,0.9895266251795424,0.0008640247229285021,0.9943347953216374,0.9583333333333334,0.9943605603056213,0.9587852494577006,0.9999237211877159,0.990554786088027,0.9484978540772532,0.9692982456140351,6840,7581,0.5
Office Products,has_main_bsr,All Features,RandomForest,0.9873310377552068,0.0017434009666889275,0.993421052631579,0.9612573099415205,0.9934545454545455,0.9617880317231434,0.9998673470042064,0.9903410451078963,0.9487908961593172,0.9751461988304093,6840,7581,0.5
Baby,has_main_bsr,All Features,LogisticRegression,0.9650068076233115,0.0024475716275992676,1.0,0.9138673557278209,1.0,0.9148211243611585,1.0,0.9696272775832394,0.9040404040404041,0.9258620689655173,5804,7581,0.5
Baby,has_main_bsr,All Features,XGBoost,0.9659217828775274,0.003662474640905712,0.9877234546629334,0.921619293712317,0.9878645944219715,0.9224211423699915,0.9997352191224119,0.9780788177339902,0.9123102866779089,0.9327586206896552,5804,7581,0.5
Baby,has_main_bsr,All Features,RandomForest,0.958001845769033,0.002619947067104654,0.9840620288606504,0.9147286821705426,0.9843087362171332,0.9186524239934265,0.9997929253963641,0.9737106059706807,0.8775510204081632,0.9637931034482758,5804,7581,0.5
"Clothing, Shoes & Jewelry",has_main_bsr,All Features,LogisticRegression,0.7953553764118677,0.012583557310441503,0.9959112149532711,0.7464953271028038,0.9959088252483927,0.7407407407407407,0.9999648577386672,0.827583195038868,0.7579462102689487,0.7242990654205608,4280,7581,0.5
"Clothing, Shoes & Jewelry",has_main_bsr,All Features,XGBoost,0.8614837546621473,0.0016183372910011924,0.9404205607476636,0.8259345794392523,0.943301834352418,0.8360836083608361,0.9949371260590445,0.882877325530614,0.7900207900207901,0.8878504672897196,4280,7581,0.5
"Clothing, Shoes & Jewelry",has_main_bsr,All Features,RandomForest,0.8576011804994711,0.004586121824791596,0.9389602803738317,0.8212616822429907,0.9423448275862069,0.8301886792452831,0.9962459194034414,0.8760372084898244,0.7906976744186046,0.8738317757009346,4280,7581,0.5
Kitchen & Dining,has_main_bsr,All Features,LogisticRegression,0.987099314106998,0.002712406347350342,1.0,0.9407514450867052,1.0,0.9413447782546495,1.0,0.9826088409235191,0.9320113314447592,0.9508670520231214,3458,7581,0.5
Kitchen & Dining,has_main_bsr,All Features,XGBoost,0.9834588895528755,0.002939730801065231,0.9985538684020245,0.9421965317919075,0.9985559566787003,0.9428571428571428,0.9999801326823127,0.985833138427612,0.9322033898305084,0.953757225433526,3458,7581,0.5
Kitchen & Dining,has_main_bsr,All Features,RandomForest,0.9824487932957213,0.001398076549883455,0.9971077368040492,0.934971098265896,0.9971160778658976,0.9358059914407989,0.9998980492908152,0.9816315279494805,0.923943661971831,0.9479768786127167,3458,7581,0.5
Electronics,has_main_bsr,All Features,LogisticRegression,0.9920552821402326,0.0043937081274406636,1.0,0.9604261796042618,1.0,0.9611940298507463,1.0,0.9826061976425235,0.9415204678362573,0.9817073170731707,3282,7581,0.5
Electronics,has_main_bsr,All Features,XGBoost,0.990388667718532,0.00464892202742114,0.9992380952380953,0.958904109589041,0.9992389649923896,0.9593984962406015,1.0,0.982365260582697,0.9465875370919882,0.9725609756097561,3282,7581,0.5
Electronics,has_main_bsr,All Features,RandomForest,0.9915154174895248,0.003577250643698568,0.9954285714285714,0.954337899543379,0.9954510993176648,0.9550898203592815,0.9998839002099085,0.9811235080435912,0.9382352941176471,0.9725609756097561,3282,7581,0.5
Cell Phones & Accessories,has_main_bsr,All Features,LogisticRegression,0.996589579898251,0.0014598987221960285,1.0,0.9694189602446484,1.0,0.9696969696969697,1.0,0.9936779889271286,0.9580838323353293,0.9815950920245399,1632,7581,0.5
Cell Phones & Accessories,has_main_bsr,All Features,XGBoost,0.9907904564607732,0.0008396071024749767,1.0,0.963302752293578,1.0,0.9636363636363636,1.0,0.9931542720335179,0.9520958083832335,0.9754601226993865,1632,7581,0.5
Cell Phones & Accessories,has_main_bsr,All Features,RandomForest,0.9925238518017446,0.0036097671399456925,0.9992337164750957,0.9663608562691132,0.9992348890589136,0.9667673716012085,1.0,0.9958476732006584,0.9523809523809523,0.9815950920245399,1632,7581,0.5
Tools & Home Improvement,has_main_bsr,All Features,LogisticRegression,0.9851260656629783,0.003592091129126051,1.0,0.9147982062780269,1.0,0.9147982062780269,1.0,0.9763513513513514,0.9107142857142857,0.918918918918919,1114,7581,0.5
Tools & Home Improvement,has_main_bsr,All Features,XGBoost,0.9787774351532742,0.006109733013687251,1.0,0.9237668161434978,1.0,0.9251101321585903,1.0,0.9701576576576576,0.9051724137931034,0.9459459459459459,1114,7581,0.5
Tools & Home Improvement,has_main_bsr,All Features,RandomForest,0.9798430981316888,0.003763056864301251,1.0,0.905829596412556,1.0,0.9049773755656109,1.0,0.9671010296010295,0.9090909090909091,0.9009009009009009,1114,7581,0.5
Video Games,has_main_bsr,All Features,LogisticRegression,0.9988906425879703,0.0007845979974001421,1.0,0.9809523809523809,1.0,0.9813084112149533,1.0,0.9902947845804989,0.963302752293578,1.0,1048,7581,0.5
Video Games,has_main_bsr,All Features,XGBoost,0.9976665198453482,0.002247164538016628,1.0,0.9619047619047619,1.0,0.9629629629629629,1.0,0.980498866213152,0.9369369369369369,0.9904761904761905,1048,7581,0.5
Video Games,has_main_bsr,All Features,RandomForest,0.9975206773356824,0.0021938315298480767,1.0,0.9666666666666667,1.0,0.9665071770334929,1.0,0.9871655328798187,0.9711538461538461,0.9619047619047619,1048,7581,0.5
Pet Supplies,has_main_bsr,All Features,LogisticRegression,0.9212651226170253,0.006544511330499375,1.0,0.8418367346938775,1.0,0.845771144278607,1.0,0.9006663890045815,0.8252427184466019,0.8673469387755102,980,7581,0.5
Pet Supplies,has_main_bsr,All Features,XGBoost,0.9104608093186847,0.01507539951501201,1.0,0.7959183673469388,1.0,0.7959183673469388,1.0,0.8992086630570596,0.7959183673469388,0.7959183673469388,980,7581,0.5
Pet Supplies,has_main_bsr,All Features,RandomForest,0.9084713549954503,0.0028268825538724732,1.0,0.8163265306122449,1.0,0.8217821782178217,1.0,0.9117034568929612,0.7980769230769231,0.8469387755102041,980,7581,0.5
Sports & Outdoors,has_main_bsr,All Features,LogisticRegression,0.9315085935293222,0.012226907200715632,1.0,0.8563218390804598,1.0,0.8587570621468926,1.0,0.9335447218919276,0.8444444444444444,0.8735632183908046,866,7581,0.5
Sports & Outdoors,has_main_bsr,All Features,XGBoost,0.939148034678313,0.01760061881421697,1.0,0.8620689655172413,1.0,0.8604651162790697,1.0,0.9369797859690844,0.8705882352941177,0.8505747126436781,866,7581,0.5
Sports & Outdoors,has_main_bsr,All Features,RandomForest,0.9209870064967517,0.02048808546237726,0.9985549132947977,0.8390804597701149,0.9985569985569985,0.8313253012048193,1.0,0.9176905799973576,0.8734177215189873,0.7931034482758621,866,7581,0.5
Industrial & Scientific,has_main_bsr,All Features,LogisticRegression,0.9584719184932785,0.004730435985280572,1.0,0.89937106918239,1.0,0.8987341772151899,1.0,0.956487341772152,0.8987341772151899,0.8987341772151899,794,7581,0.5
Industrial & Scientific,has_main_bsr,All Features,XGBoost,0.9540753360796081,0.007165617737691024,1.0,0.9182389937106918,1.0,0.9221556886227545,1.0,0.9705696202531646,0.875,0.9746835443037974,794,7581,0.5
Industrial & Scientific,has_main_bsr,All Features,RandomForest,0.9485033932880141,0.01535514966348712,1.0,0.9182389937106918,1.0,0.9192546583850931,1.0,0.970886075949367,0.9024390243902439,0.9367088607594937,794,7581,0.5
Musical Instruments,has_main_bsr,All Features,LogisticRegression,0.9908496732026144,0.00993004990713574,1.0,0.968503937007874,1.0,0.9692307692307692,1.0,0.9990079365079365,0.9402985074626866,1.0,634,7581,0.5
Musical Instruments,has_main_bsr,All Features,XGBoost,0.9816526610644258,0.014245838784259253,1.0,0.9763779527559056,1.0,0.9763779527559056,1.0,0.9972718253968254,0.96875,0.9841269841269841,634,7581,0.5
Musical Instruments,has_main_bsr,All Features,RandomForest,0.9857142857142858,0.01128182919733989,1.0,0.952755905511811,1.0,0.9516129032258065,1.0,0.9967757936507936,0.9672131147540983,0.9365079365079365,634,7581,0.5
