BSR_Group,Target,Feature_Set,Model,Model_Type,CV_R2_Mean,CV_R2_Std,Train_R2,Test_R2,Test_RMSE,Test_MAE,N_Samples,N_Features
Cell Phones & Accessories,Main BSR,All Features,Random Forest,nonlinear,0.11852699838461518,0.06544895956434107,0.8340730764930528,0.1251401496108846,1.4425177548092056,1.0963120031407436,816,7581
Cell Phones & Accessories,Main BSR,All Features,XGBoost,nonlinear,0.12199683503256502,0.042743643757114556,0.9819743734039201,0.1333076197407682,1.435768475156244,1.0840932196186661,816,7581
Cell Phones & Accessories,Main BSR,All Features,LightGBM,nonlinear,0.14719894511451934,0.0526315583678465,0.9730147832552708,0.17740082786354716,1.3987691916340046,1.0823910323291006,816,7581
Tools & Home Improvement,Main BSR,All Features,Linear Regression,linear,-0.18650027009883083,0.09651370101043392,0.9999999999727902,-0.7639976022187167,2.4633400318605494,1.8084429827846613,557,7581
Tools & Home Improvement,Main BSR,All Features,Ridge,linear,-0.18477655303352422,0.09595637904509521,0.9999988097158423,-0.742953344351986,2.448602284901528,1.7947875640345095,557,7581
Tools & Home Improvement,Main BSR,All Features,Random Forest,nonlinear,0.07910059827713034,0.012005512554627087,0.8306758314421628,0.07209231919570092,1.7866017466340656,1.4898612148038826,557,7581
Tools & Home Improvement,Main BSR,All Features,XGBoost,nonlinear,0.12554922263420676,0.020266996553088723,0.9917150539384966,0.12117076236237945,1.7387118655335705,1.428246764916508,557,7581
Tools & Home Improvement,Main BSR,All Features,LightGBM,nonlinear,0.09671117742901177,0.01664621254865606,0.9722863745596382,0.12195278103080065,1.7379381044348527,1.3911526953479203,557,7581
Video Games,Main BSR,All Features,Linear Regression,linear,-0.43841726484565274,0.1296194119966316,1.0,-0.330016283394994,1.847775246445848,1.4239285876706278,524,7581
Video Games,Main BSR,All Features,Ridge,linear,-0.43511567445478155,0.12966029288194494,0.9999984392829594,-0.3286110296805236,1.8467988376253797,1.4248927309212367,524,7581
Video Games,Main BSR,All Features,Random Forest,nonlinear,0.1246537890782488,0.022879599143934493,0.8406620872197191,0.17460209204208887,1.4556345249110294,1.1195859324445179,524,7581
Video Games,Main BSR,All Features,XGBoost,nonlinear,0.1756114823334457,0.04231189988920534,0.9893455643821996,0.13078164385742685,1.493774737281268,1.1565886495376163,524,7581
Video Games,Main BSR,All Features,LightGBM,nonlinear,0.16106885960030506,0.06583582371539634,0.9723992502777428,0.05697396325894,1.5559029621959308,1.217711555863165,524,7581
Pet Supplies,Main BSR,All Features,Linear Regression,linear,-0.1815827692460489,0.021694549092503682,1.0,-0.21963049684442448,1.5521854778118322,1.1482145706153186,490,7581
Pet Supplies,Main BSR,All Features,Ridge,linear,-0.18110522904473547,0.021813777967145107,0.9999994922839425,-0.21903687605171895,1.5518076905553715,1.1480384747692334,490,7581
Pet Supplies,Main BSR,All Features,Random Forest,nonlinear,0.022629931358666828,0.031043900518123807,0.8285288828053695,0.060226820908824696,1.36251408752112,1.0241482154405617,490,7581
Pet Supplies,Main BSR,All Features,XGBoost,nonlinear,-0.00503456587802283,0.044871227698757635,0.9921251668621117,0.0285054208719574,1.385318611745181,1.0533202373048234,490,7581
Pet Supplies,Main BSR,All Features,LightGBM,nonlinear,-0.02454450008064805,0.02465631571164714,0.9662188563547236,-0.006796821591043223,1.410263923230487,1.0508740770682494,490,7581
Sports & Outdoors,Main BSR,All Features,Linear Regression,linear,0.16221729189665693,0.09241799942237765,1.0,0.18824038208738392,2.0715873151343875,1.6156496711877106,433,7581
Sports & Outdoors,Main BSR,All Features,Ridge,linear,0.16245076924354318,0.09235750566285757,0.9999996386836368,0.1890170495406368,2.070596061419561,1.6148959918261667,433,7581
Sports & Outdoors,Main BSR,All Features,Random Forest,nonlinear,0.09233286763378461,0.04822375454704142,0.8583823626008718,0.27915784159035717,1.9521339335942882,1.611636652183929,433,7581
Sports & Outdoors,Main BSR,All Features,XGBoost,nonlinear,0.17418855505692563,0.10896133119903247,0.9944936469010967,0.3803810357821945,1.8098887156504913,1.426993264385067,433,7581
Sports & Outdoors,Main BSR,All Features,LightGBM,nonlinear,0.24247577857711375,0.04112560501228555,0.9812924980194242,0.4048168027974962,1.773841668885119,1.47227849366361,433,7581
Industrial & Scientific,Main BSR,All Features,Linear Regression,linear,-0.9682593041950988,0.7859655693515837,0.9999883114185772,-1.9445640499635335,3.685514541634453,2.703813629036033,397,7581
Industrial & Scientific,Main BSR,All Features,Ridge,linear,-0.35119063626209246,0.37535318839888004,0.9997255442863461,-0.9944135973776962,3.033159437692633,2.218788026547941,397,7581
